json,regio
db/rvr/geojson/1e_herziening_serie6.geojson|01 waalwijk_1882,eerste herziening-6-1-1882-waalwijk
db/rvr/geojson/1e_herziening_serie6.geojson|02 capelle_s-grevelduins_2e uitg,eerste herziening-6-2-1886-capelle (�s-grevelduins)
db/rvr/geojson/1e_herziening_serie6.geojson|03 geertruidenberg_1885,eerste herziening-6-3-1885-geertruidenberg
db/rvr/geojson/1e_herziening_serie6.geojson|04 drimmelen_1886,eerste herziening-6-4-1886-drimmelen
db/rvr/geojson/1e_herziening_serie6.geojson|05 zwaluwe_1885,eerste herziening-6-5-1885-zwaluwe
db/rvr/geojson/1e_herziening_serie6.geojson|06 moerdijk_1885,eerste herziening-6-6-1885-moerdijk
db/rvr/geojson/1e_herziening_serie6.geojson|19 klundert_1886,eerste herziening-6-19-1886-klundert
db/rvr/geojson/1e_herziening_serie6.geojson|20 willemstad_1886,eerste herziening-6-20-1886-willemstad
db/rvr/geojson/1e_herziening_serie6.geojson|21 ooltgensplaat_noord_1886,eerste herziening-6-21-1886-ooltgensplaat (noordelijk deel)
db/rvr/geojson/1e_herziening_serie6.geojson|21 ooltgensplaat_zuid_1886,
db/rvr/geojson/1e_herziening_serie6.geojson|23 den bommel_1886,eerste herziening-6-23-1886-den bommel
db/rvr/geojson/1e_herziening_serie7.geojson|1_poederoijen_1908,eerste herziening-7-s1-1908-poederoijen
db/rvr/geojson/1e_herziening_serie7.geojson|2_s-gravemoer_1910,eerste herziening-7-s2-1910-�s-gravemoer
db/rvr/geojson/1e_herziening_serie7.geojson|28 ammerzoden_1908,eerste herziening-7-28-1908-ammerzoden
db/rvr/geojson/1e_herziening_serie7.geojson|29 waalwijk_1909,eerste herziening-7-29-1909-waalwijk
db/rvr/geojson/1e_herziening_serie7.geojson|30 capelle_1909,eerste herziening-7-30-1909-capelle
db/rvr/geojson/1e_herziening_serie7.geojson|31 geertruidenberg_1911,eerste herziening-7-31-1911-geertruidenberg
db/rvr/geojson/1e_herziening_serie7.geojson|32 drimmelen_1913,eerste herziening-7-32-1913-drimmelen
db/rvr/geojson/1e_herziening_serie7.geojson|33 zwaluwe_1913,eerste herziening-7-33-1913-zwaluwe
db/rvr/geojson/1e_herziening_serie7.geojson|34 moerdijk_1914,eerste herziening-7-34-1914-moerdijk
db/rvr/geojson/1e_herziening_serie8.geojson|01a gouda_1902,eerste herziening-8-1-1902-gouda
db/rvr/geojson/1e_herziening_serie8.geojson|02a beijersche veer_1902,eerste herziening-8-2-1902-beijersche veer
db/rvr/geojson/1e_herziening_serie8.geojson|03 moordrecht_1904,eerste herziening-8-3-1904-moordrecht
db/rvr/geojson/1e_herziening_serie8.geojson|04a de snelle_1905,eerste herziening-8-4-1905-de snelle
db/rvr/geojson/1e_herziening_serie8.geojson|05  kortenoord_1904,eerste herziening-8-5-1904-kortenoord
db/rvr/geojson/1e_herziening_serie8.geojson|06 groot hitland_1905,eerste herziening-8-6-1905-groot hitland
db/rvr/geojson/1e_herziening_serie8.geojson|07 ouderkerk_1906,eerste herziening-8-7-1906-ouderkerk
db/rvr/geojson/1e_herziening_serie8.geojson|08 capelle_1906,eerste herziening-8-8-1906-capelle
db/rvr/geojson/1e_herziening_serie8.geojson|09 krimpen_1907,eerste herziening-8-9-1907-krimpen
db/rvr/geojson/1e_herziening_serie8.geojson|10 stormpolder_1907,
db/rvr/geojson/1e_herziening_serie8_1915-1924.geojson|06 groot hitland_1915,eerste herziening-8-6-1915-groot hitland
db/rvr/geojson/1e_herziening_serie8_1915-1924.geojson|07 ouderkerk_1924,eerste herziening-8-7-1924-ouderkerk
db/rvr/geojson/1e_herziening_serie8_1915-1924.geojson|08 capelle_1924,eerste herziening-8-8-1924-capelle
db/rvr/geojson/2e_herziening_serie1.geojson|01 lobith_1917,tweede herziening-1-1-1917-lobith
db/rvr/geojson/2e_herziening_serie1.geojson|02 millingen_1914,tweede herziening-1-2-1914-millingen
db/rvr/geojson/2e_herziening_serie1.geojson|03 kekerdom_1920,tweede herziening-1-3-1920-kekerdom
db/rvr/geojson/2e_herziening_serie1.geojson|04 nijmegen_1920,tweede herziening-1-4-1920-nijmegen
db/rvr/geojson/2e_herziening_serie1.geojson|05 herveld_1923,tweede herziening-1-5-1923-herveld
db/rvr/geojson/2e_herziening_serie1.geojson|06 dodewaard_1921,tweede herziening-1-6-1921-dodewaard
db/rvr/geojson/2e_herziening_serie1.geojson|07 leeuwen_1923,tweede herziening-1-7-1923-leeuwen
db/rvr/geojson/2e_herziening_serie1.geojson|08 tiel_1924,tweede herziening-1-8-1924-tiel
db/rvr/geojson/2e_herziening_serie1.geojson|09 varik_1923,tweede herziening-1-9-1923-varik
db/rvr/geojson/2e_herziening_serie1.geojson|10 zaltbommel_1924,tweede herziening-1-10-1924-zaltbommel
db/rvr/geojson/2e_herziening_serie1.geojson|11 zuilichem_1924,tweede herziening-1-11-1924-zuilichem
