editie,nr,titel,uitgever,uitgave,bewerkt,verkend,bijgewerkt,herzien,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,opmerking,wsk,hw,we,image
1,38,GORINCHEM 3,Top. Bur.,,1870,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/38 Gorinchem-3.jpg
1,38,GORINCHEM 4,Top. Bur.,,1870,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/38 Gorinchem-4.jpg
1,39,RHENEN 1,Top. Bur.,,1871,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/39 Rhenen-1.jpg
1,39,RHENEN 2,Top. Inrigting,,1879,1881,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/39 Rhenen-2.jpg
1,39,RHENEN 3,Top. Bur.,,1871,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/39 Rhenen-3.jpg
1,39,RHENEN 4,Top. Bur.,,1871,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/39 Rhenen-4.jpg
1,40,ARNHEM 1,Top. Inrigting,,1881,1879,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/40 Arnhem-1.jpg
1,40,ARNHEM 2,Top. Inrigting,,1881,1879,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/40 Arnhem-2.jpg
1,40,ARNHEM 3,Top. Inrigting,,1881,1879,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/40 Arnhem-3.jpg
1,40,ARNHEM 4,Top. Inrigting,,1881,1879,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/40 Arnhem-4.jpg
1,41,AALTEN 1,Top. Inrigting,,1883,1881,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/41 Aalten-1.jpg
1,41,AALTEN 2,Top. Inr.,,1883,1881,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/41 Aalten-2.jpg
1,41,AALTEN 3,Top. Inrigting,,1883,1881,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/41 Aalten-3.jpg
1,42,ZIERIKZEE 1,Top. Bureau,,1872,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/42 Zierikzee-1.jpg
1,42,ZIERIKZEE 2,Top. Bureau,,1872,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/42 Zierikzee-2.jpg
1,43,WILLEMSTAD 1,Top. Bureau,,1871,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/43 Willemstad-1.jpg
1,43,WILLEMSTAD 3,Top. Bureau,,1872,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/43 Willemstad-3.jpg
1,43,WILLEMSTAD 4,Top. Bureau,,1872,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/43 Willemstad-4.jpg
1,44,GEERTRUIDENBERG 1,Top. Inrigting,,1880,1878,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/44 Geertruidenberg-1.jpg
1,44,GEERTRUIDENBERG 2,Top. Inrigting,,1880,1874,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/44 Geertruidenberg-2.jpg
1,44,GEERTRUIDENBERG 3,Top. Bur.,,1875,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/44 Geertruidenberg-3.jpg
1,44,GEERTRUIDENBERG 4,Top. Bur.,,1875,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/44 Geertruidenberg-4.jpg
1,45,'S HERTOGENBOSCH 1,Top. Inrigting,,1878,1876,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/45 's-Hertogenbosch-1.jpg
1,45,'S HERTOGENBOSCH 2,Top. Inrigting,,1879,1877,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/45 's-Hertogenbosch-2.jpg
1,45,'S HERTOGENBOSCH 3,Top. Inrigting,,1878,1876,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/45 's-Hertogenbosch-3.jpg
1,45,'S HERTOGENBOSCH 4,Top. Inrigting,,1879,1877,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/45 's-Hertogenbosch-4.jpg
